q,n,r,lower_bound,upper_bound,lower_bound_reference,upper_bound_reference
2,1,1,1,1,rule_trivial_lower,rule_trivial_upper
2,2,1,2,2,rule_trivial_lower,rule_trivial_upper
2,2,2,1,1,rule_trivial_lower,rule_trivial_upper
2,3,1,2,2,rule_trivial_lower,rule_trivial_upper
2,3,2,2,2,rule_trivial_lower,rule_trivial_upper
2,3,3,1,1,rule_trivial_lower,rule_trivial_upper
2,4,1,4,4,lit_taussky_todd_1948,rule_trivial_upper
2,4,2,2,2,rule_trivial_lower,rule_trivial_upper
2,4,3,2,2,rule_trivial_lower,rule_trivial_upper
2,4,4,1,1,rule_trivial_lower,rule_trivial_upper
2,5,1,7,7,lit_taussky_todd_1948,rule_trivial_upper
2,5,2,2,2,lit_taussky_todd_1948,rule_trivial_upper
2,5,3,2,2,rule_trivial_lower,rule_trivial_upper
2,5,4,2,2,rule_trivial_lower,rule_trivial_upper
2,5,5,1,1,rule_trivial_lower,rule_trivial_upper
2,6,1,12,12,lit_stanton_kalbfleisch_1968_and_1969,lit_stanton_kalbfleisch_1968
2,6,2,4,4,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,6,3,2,2,rule_trivial_lower,rule_trivial_upper
2,6,4,2,2,rule_trivial_lower,rule_trivial_upper
2,6,5,2,2,rule_trivial_lower,rule_trivial_upper
2,6,6,1,1,rule_trivial_lower,rule_trivial_upper
2,7,1,16,16,rule_perfect_code,rule_perfect_code
2,7,2,7,7,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,7,3,2,2,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,7,4,2,2,rule_trivial_lower,rule_trivial_upper
2,7,5,2,2,rule_trivial_lower,rule_trivial_upper
2,7,6,2,2,rule_trivial_lower,rule_trivial_upper
2,7,7,1,1,rule_trivial_lower,rule_trivial_upper
2,8,1,32,32,lit_stanton_kalbfleisch_1968_and_1969,rule_trivial_upper
2,8,2,12,12,lit_blass_litsyn_1998_and_1999,lit_cohen_lobstein_sloane_1986
